name,total_crashes,total_runs,year,nov22,dec22,jan23,feb23,mar23,apr23,may23,jun23,jul23,aug23,sep23,oct23,seconds_total,first_run_days,last_run_days,last_crash_days,category_Acoustic,category_AdvancedSettings,category_BoundaryCondition,category_DLL,category_Dispersed,category_EDH,category_FSI,category_FreeSurface,category_Gap,category_Grid,category_HeatTransfer,category_IniConditions,category_Limiters,category_MBC,category_MassTransfer,category_Modifiers,category_Motion,category_MovingBodies,category_Plugins,category_Radiation,category_Roughness,category_StartStopSaveLoad,category_Subregions,category_Substances,category_Turbulence,category_UserFunction,category_VerificationTests,category_Vizu,category_tutorial
06_Plate2D_45_turb,25,2398,2014,0,0,0,1,0,0,0,0,0,0,0,0,1,3572,50,314,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08_NACA0012_a8_M03,25,2319,2014,0,0,0,1,0,0,0,0,0,0,0,0,1,3573,81,314,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0_diam_0_particles,22,1959,2015,0,0,0,1,0,0,1,0,0,0,1,0,24,3219,50,325,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0_diam_0_particles2,14,1534,2017,0,0,0,1,0,0,1,0,0,0,1,0,1,2414,20,325,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0_surface_supergroup,3,1272,2018,0,0,0,1,0,0,0,0,0,0,1,0,70,1940,50,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10074_t3_30901,4,10,2015,0,0,0,0,0,0,0,0,0,0,0,0,146226,3143,2544,2544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10_1_Piston_V1,0,11,2021,0,0,0,0,0,0,0,0,0,0,0,0,22,857,506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11_1_Nozzle_Subsonic,1,19,2021,0,0,0,0,0,0,0,0,0,0,0,0,53,857,506,1055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11_2_Nozzle_Supersonic,8,8,2021,0,1,0,0,0,0,0,0,0,0,0,0,84,852,506,506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11_3_Nozzle_Transsonic,22,22,2021,0,1,0,0,0,0,0,0,0,0,0,0,564,858,506,506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11_test1,30,2348,2014,0,0,0,1,0,0,0,0,0,0,1,0,56,3572,50,325,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12_1_IncidentShock,8,8,2021,0,1,0,0,0,0,0,0,0,0,0,0,551,852,506,506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13_1_Shpere_M11,7,7,2021,0,1,0,0,0,0,0,0,0,0,0,0,10271,801,506,506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14_1_FreeJet,8,29,2021,0,0,0,0,0,0,0,0,0,0,0,0,144,858,506,677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15_1_Bak,0,8,2021,0,0,0,0,0,0,0,0,0,0,0,0,421,852,506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
160801_makim_sliding_wall_function_test1,6,1541,2017,0,0,0,1,0,0,0,0,0,0,0,1,4,2218,50,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16_1_Weir,5,11,2021,0,0,0,0,0,0,0,0,0,0,0,0,9620,853,506,677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17_1_Pendulum,0,8,2021,0,0,0,0,0,0,0,0,0,0,0,0,360,852,506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18_1_FallingBall_1,9,9,2021,0,1,0,0,0,0,0,0,0,0,0,0,1706,852,506,506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
19_1_Ahmed_Body,19,19,2021,0,1,0,0,0,0,0,0,0,0,0,0,16250,857,506,506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1Box_1Model_R,11,2396,2014,0,0,0,1,0,0,0,0,0,0,0,0,7,3572,50,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1Box_1Model_R_Gap,11,2386,2014,0,0,0,1,0,0,0,0,0,0,0,0,3,3572,20,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1D_Radiation_Turbid,20,2216,2014,0,0,0,1,0,0,0,0,0,0,0,0,5427,3572,20,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1Sphere_1Model_R,11,2400,2014,0,0,0,1,0,0,0,0,0,0,0,0,12,3572,50,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1Sphere_1Model_R_Gap,15,2416,2014,0,0,0,1,0,0,0,0,0,0,0,0,6,3573,81,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1_1_Plate_Lam_2por_31202,5,16,2021,0,0,0,0,0,0,0,0,0,0,0,0,84,858,506,858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1_2_Plate_lam_conj_1_31202,15,29,2021,0,0,0,0,0,0,0,0,0,0,0,0,250,858,506,677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
23052016_detailed_Cp,1,1779,2016,0,0,0,1,0,0,0,0,0,0,0,0,5,2770,50,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2Boxes_2Models_RC,19,2239,2014,0,0,0,0,0,0,0,0,0,0,1,0,73,3572,50,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2Dhydro,0,26,2023,0,0,0,0,0,0,0,0,0,0,0,0,9,82,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2Dnozzle_water02_err,2,851,2020,0,0,0,0,0,0,0,0,0,0,1,0,5,1121,20,325,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
