name,first_run,last_run,last_crash,total_crashes,total_runs,elapsed_time
06_Plate2D_45_turb,21.03.14,11.11.23,20.02.23,25,2398,0:0:1
08_NACA0012_a8_M03,20.03.14,10.11.23,20.02.23,25,2319,0:0:1
0_diam_0_particles,03.09.15,11.11.23,02.09.23,22,1959,0:0:24
0_diam_0_particles2,22.05.17,12.11.23,02.09.23,14,1534,0:0:1
0_surface_supergroup,09.08.18,11.11.23,02.09.23,3,1272,0:1:10
10074_t3_30901,24.05.15,01.12.17,01.12.17,4,10,40:37:6
10_1_Piston_V1,26.08.21,08.12.22,none,0,11,0:0:22
11_1_Nozzle_Subsonic,26.08.21,08.12.22,02.09.21,1,19,0:0:53
11_2_Nozzle_Supersonic,31.08.21,08.12.22,08.12.22,8,8,0:1:24
11_3_Nozzle_Transsonic,25.08.21,08.12.22,08.12.22,22,22,0:9:24
11_test1,21.03.14,11.11.23,02.09.23,30,2348,0:0:56
12_1_IncidentShock,31.08.21,08.12.22,08.12.22,8,8,0:9:11
13_1_Shpere_M11,21.10.21,08.12.22,08.12.22,7,7,2:51:11
14_1_FreeJet,25.08.21,08.12.22,22.02.22,8,29,0:2:24
15_1_Bak,31.08.21,08.12.22,none,0,8,0:7:1
160801_makim_sliding_wall_function_test1,12.04.17,11.11.23,10.10.23,6,1541,0:0:4
16_1_Weir,30.08.21,08.12.22,22.02.22,5,11,2:40:20
17_1_Pendulum,31.08.21,08.12.22,none,0,8,0:6:0
18_1_FallingBall_1,31.08.21,08.12.22,08.12.22,9,9,0:28:26
19_1_Ahmed_Body,26.08.21,08.12.22,08.12.22,19,19,4:30:50
1Box_1Model_R,21.03.14,11.11.23,20.02.23,11,2396,0:0:7
1Box_1Model_R_Gap,21.03.14,12.11.23,20.02.23,11,2386,0:0:3
1D_Radiation_Turbid,21.03.14,12.11.23,20.02.23,20,2216,1:30:27
1Sphere_1Model_R,21.03.14,11.11.23,20.02.23,11,2400,0:0:12
1Sphere_1Model_R_Gap,20.03.14,10.11.23,20.02.23,15,2416,0:0:6
1_1_Plate_Lam_2por_31202,25.08.21,08.12.22,25.08.21,5,16,0:1:24
1_2_Plate_lam_conj_1_31202,25.08.21,08.12.22,22.02.22,15,29,0:4:10
23052016_detailed_Cp,31.05.16,11.11.23,20.02.23,1,1779,0:0:5
2Boxes_2Models_RC,21.03.14,11.11.23,06.09.23,19,2239,0:1:13
2Dhydro,10.10.23,11.11.23,none,0,26,0:0:9
2Dnozzle_water02_err,12.05.20,12.11.23,02.09.23,2,851,0:0:5
2d_bottom-nozle,05.11.20,12.11.23,02.09.23,24,745,1:37:37
2d_bottom-nozle_air-air-VoF,13.11.20,10.11.23,01.09.23,7,744,0:10:36
2D_OBL_continue,16.06.22,05.09.22,05.09.22,7,8,0:0:10
2D_RSD49_0_4880iter,02.03.17,11.11.23,22.09.22,5,1580,0:1:22
2d_sliding_mesh_SM,26.10.16,12.11.23,20.02.23,9,1640,0:0:5
2d_with_adapt_by_condition,23.03.21,11.11.23,01.09.23,3,642,0:0:13
2Spheres_2Models_RC,21.03.14,11.11.23,06.09.23,19,2241,0:1:48
2Spheres_OBL_on_1BC,17.06.22,05.09.22,none,0,7,0:1:50
2Spheres_OBL_on_2BC,05.09.22,05.09.22,none,0,3,0:1:37
2Sphere_OBL_on_2BC_max_level_limitation,17.06.22,05.09.22,none,0,7,0:1:5
2Sub_1Phas_1Mod_4Sub,21.03.14,11.11.23,27.06.23,14,2285,0:0:44
2Sub_1Phas_2Mod_4Sub,21.03.14,11.11.23,27.06.23,14,2248,0:0:56
2Sub_1Phas_4Mod_4Sub,21.03.14,11.11.23,27.06.23,16,2247,0:0:48
2Sub_2Phas_2Mod_4Sub,21.03.14,11.11.23,27.06.23,19,2238,0:0:48
2Sub_4Phas_4Mod_4Sub,21.03.14,11.11.23,27.06.23,14,2235,0:0:52
2tubes,21.03.14,11.11.23,20.02.23,5,2399,0:0:28
2_1_Bearing_channel_31202,25.08.21,08.12.22,25.08.21,1,13,0:0:12
2_2_Bearing_channel_gap_31202,25.08.21,08.12.22,25.08.21,1,11,0:0:7
30mln_err1,20.03.14,10.11.23,20.02.23,35,2290,0:0:2
3Boxes_1Model,21.03.14,12.11.23,06.09.23,10,2395,0:0:5
3Boxes_1Model_gap,21.03.14,11.11.23,06.09.23,9,2411,0:0:4
3Boxes_1Model_GapEff,21.03.14,12.11.23,06.09.23,10,2334,0:0:3
3Boxes_3Model,21.03.14,12.11.23,24.05.19,19,2227,0:1:46
3Boxes_3Models_CRC,21.03.14,12.11.23,20.02.23,25,2284,0:1:17
3Boxes_3Models_CRC_Gap,21.03.14,11.11.23,20.02.23,23,2394,0:0:31
3Boxes_3Models_GapEff,20.03.14,10.11.23,20.02.23,21,2296,0:1:3
3Boxes_3Models_GapEff_f(X),31.05.17,10.11.23,20.02.23,5,1553,0:1:13
3Boxes_3Models_GapEff_Table,01.06.17,11.11.23,20.02.23,5,1543,0:1:16
3Boxes_3Models_GapEff_turb_KES,23.03.17,10.11.23,20.02.23,11,1589,0:1:31
3Boxes_3Models_RRR,25.03.14,12.11.23,20.02.23,21,2230,0:1:0
3Boxes_3Models_RRR_Gap,21.03.14,12.11.23,20.02.23,20,2331,0:0:18
3Boxes_3Model_Gap,21.03.14,11.11.23,25.08.22,19,2349,0:1:1
3Box_2m_FSF,21.03.14,11.11.23,20.02.23,16,2399,0:0:40
3Box_2m_FSF_skew,15.01.18,11.11.23,20.02.23,6,1404,0:1:20
3Box_2m_SFS,20.03.14,10.11.23,20.02.23,21,2391,0:0:32
3DTableForInitialPres_CheckInterpol,02.02.19,11.11.23,02.09.23,8,1156,0:0:21
3DTable_InletSpeed,17.04.19,12.11.23,20.02.23,2,1104,0:0:24
3_1_Couette_heat,26.08.21,08.12.22,21.10.21,3,9,0:36:59
3_2_Couette_heat_gap,25.08.21,08.12.22,08.12.22,25,25,0:0:10
4444,09.09.16,11.11.23,02.09.23,6,1678,0:0:5
4Spheres,21.03.14,12.11.23,20.02.23,23,2221,0:17:36
4Spheres_1Model,20.03.14,10.11.23,05.09.23,19,2328,0:1:32
4Spheres_3Models_CRC,21.03.14,11.11.23,20.02.23,25,2285,0:3:25
4Spheres_3Models_CRC_Gap,21.03.14,11.11.23,20.02.23,20,2273,0:3:1
4Sub_4Phas_2Mod_4Sub,21.03.14,11.11.23,27.06.23,21,2242,0:0:46
4_1_Ring_31202,26.08.21,08.12.22,25.08.21,1,12,0:1:12
5000Iter,20.03.14,10.11.23,20.02.23,106,2312,0:22:55
5_1_LamTube_HeatFlux,26.08.21,08.12.22,none,0,19,0:0:7
6V-supp,03.03.17,11.11.23,02.09.23,97,825,0:4:33
6_1_Plate_Turb_ke_y42,25.08.21,08.12.22,22.02.22,14,29,0:2:34
7_1_BackStep_KE,31.08.21,08.12.22,08.12.22,9,9,0:2:39
7_2_BackStep_KEQ,31.08.21,08.12.22,none,0,9,0:2:44
7_3_BackStep_LowKE,26.08.21,08.12.22,22.02.22,11,26,0:2:39
7_4_BackStep_SST,26.08.21,08.12.22,08.12.22,19,19,0:2:44
8Sub_4Phas_4Mod_4Sub,20.03.14,11.11.23,27.06.23,15,2271,0:0:50
8_1_Plate_NaturConvect_31202,31.08.21,08.12.22,none,0,8,0:1:24
9_1_4Spheres,31.08.21,08.12.22,08.12.22,8,8,1:28:2
A-19_test_mesh,20.02.15,12.11.23,02.09.23,9,2037,0:19:43
Ablation_boiling_H2O,16.04.20,11.11.23,02.09.23,11,867,0:4:28
Ablation_boiling_H2O_conjugate,17.04.20,11.11.23,12.09.23,20,865,0:6:14
Ablation_boiling_H2O_conjugate_VOF,17.04.20,11.11.23,02.09.23,31,871,0:5:33
Ablation_box_boiling_H2O_conjugate,17.04.20,11.11.23,12.09.23,8,867,0:0:2
Ablation_box_sublimation_CO2_conjugate,17.04.20,11.11.23,18.10.23,81,878,0:0:2
Ablation_Carcass,28.08.21,11.11.23,02.09.23,2,539,0:0:2
Ablation_chemistry_CO2,17.04.20,10.11.23,01.09.23,23,879,0:1:8
Ablation_chemistry_CO2_conjugate,12.05.20,11.11.23,29.09.23,38,854,0:7:32
